Name,Busy,Idle,Tasks,Cost
r2,31,1,5,0.0
r3,29,3,6,0.0
r1,44,13,7,0.0
r2,40,17,7,0.0
r3,50,7,8,0.0
r1,19,10,4,0.0
r2,24,5,5,0.0
r3,18,11,4,0.0
r1,22,12,4,0.0
r2,34,0,6,0.0
r3,21,13,4,0.0
r1,12,12,5,0.0
r2,24,0,7,0.0
r3,16,8,5,0.0
r1,21,14,4,0.0
r2,26,9,4,0.0
r3,31,4,5,0.0
r1,38,17,6,0.0
r2,34,21,5,0.0
r3,47,8,8,0.0
r1,30,20,5,0.0
r2,29,21,5,0.0
r3,50,0,9,0.0
r1,6,24,1,0.0
r2,21,9,4,0.0
r3,27,3,4,0.0
r1,21,11,4,0.0
r2,24,8,5,0.0
r3,21,11,4,0.0
r1,30,2,5,0.0
r2,31,1,6,0.0
r3,16,16,4,0.0
r1,14,16,4,0.0
r2,15,15,3,0.0
r3,30,0,6,0.0
r1,6,9,2,0.0
r2,13,2,4,0.0
r3,15,0,5,0.0
r1,28,15,5,0.0
r2,30,13,4,0.0
r3,31,12,5,0.0
r1,10,8,3,0.0
r2,6,12,2,0.0
r3,7,11,3,0.0
r1,50,10,8,0.0
r2,31,29,5,0.0
r3,38,22,6,0.0
r1,33,6,6,0.0
r2,19,20,5,0.0
r3,35,4,7,0.0
r1,13,8,2,0.0
r2,21,0,4,0.0
r3,21,0,4,0.0
r1,27,3,4,0.0
r2,30,0,4,0.0
r3,27,3,3,0.0
r1,5,29,1,0.0
r2,17,17,3,0.0
r3,30,4,5,0.0
r1,27,4,6,0.0
r2,18,13,4,0.0
r3,18,13,5,0.0
r1,32,0,6,0.0
r2,26,6,6,0.0
r3,26,6,4,0.0
r1,35,13,6,0.0
r2,21,27,4,0.0
r3,45,3,6,0.0
r1,34,22,7,0.0
r2,52,4,9,0.0
r3,49,7,9,0.0
r1,19,6,2,0.0
r2,18,7,4,0.0
r3,15,10,3,0.0
r1,36,5,6,0.0
r2,21,20,5,0.0
r3,15,26,5,0.0
r1,21,0,6,0.0
r2,11,10,2,0.0
r3,10,11,4,0.0
r1,25,0,7,0.0
r2,24,1,6,0.0
r3,21,4,5,0.0
r1,26,6,6,0.0
r2,30,2,6,0.0
r3,25,7,5,0.0
r1,45,23,5,0.0
r2,60,8,8,0.0
r3,54,14,7,0.0
r1,17,5,5,0.0
r2,17,5,4,0.0
r3,15,7,3,0.0
r1,13,27,3,0.0
r2,28,12,5,0.0
r3,29,11,5,0.0
r1,15,23,4,0.0
r2,36,2,7,0.0
r3,22,16,5,0.0
r1,18,7,5,0.0
r2,14,11,5,0.0
r3,25,0,7,0.0
r1,20,3,4,0.0
r2,23,0,5,0.0
r3,5,18,2,0.0
r1,32,15,6,0.0
r2,38,9,6,0.0
r3,38,9,6,0.0
r1,25,2,4,0.0
r2,17,10,3,0.0
r3,17,10,3,0.0
r1,22,31,5,0.0
r2,36,17,7,0.0
r3,39,14,8,0.0
r1,14,19,4,0.0
r2,28,5,7,0.0
r3,29,4,7,0.0
r1,43,0,7,0.0
r2,17,26,2,0.0
r3,33,10,5,0.0
r1,34,23,6,0.0
r2,48,9,9,0.0
r3,36,21,7,0.0
r1,22,5,6,0.0
r2,16,11,3,0.0
r3,17,10,4,0.0
r1,20,14,3,0.0
r2,28,6,4,0.0
r3,34,0,5,0.0
r1,22,1,3,0.0
r2,14,9,3,0.0
r3,22,1,4,0.0
r1,34,22,6,0.0
r2,46,10,7,0.0
r3,47,9,7,0.0
r1,17,19,4,0.0
r2,21,15,4,0.0
r3,36,0,5,0.0
r1,22,5,4,0.0
r2,27,0,5,0.0
r3,25,2,5,0.0
r1,14,20,3,0.0
r2,34,0,6,0.0
r3,32,2,5,0.0
r1,38,8,4,0.0
r2,16,30,2,0.0
r3,44,2,5,0.0
r1,22,5,4,0.0
r2,25,2,4,0.0
r3,3,24,2,0.0
r1,17,7,4,0.0
r2,24,0,5,0.0
r3,21,3,4,0.0
r1,20,11,4,0.0
r2,25,6,6,0.0
r3,31,0,7,0.0
r1,23,10,3,0.0
r2,17,16,3,0.0
r3,26,7,4,0.0
r1,22,18,3,0.0
r2,40,0,5,0.0
r3,40,0,5,0.0
r1,20,6,4,0.0
r2,5,21,3,0.0
r3,12,14,4,0.0
r1,20,3,5,0.0
r2,16,7,4,0.0
r3,13,10,3,0.0
r1,24,14,3,0.0
r2,34,4,4,0.0
r3,12,26,2,0.0
r1,57,11,8,0.0
r2,39,29,6,0.0
r3,44,24,7,0.0
r1,29,10,5,0.0
r2,26,13,5,0.0
r3,23,16,4,0.0
r1,18,5,5,0.0
r2,19,4,6,0.0
r3,23,0,7,0.0
r1,29,1,7,0.0
r2,24,6,6,0.0
r3,20,10,5,0.0
r1,16,10,3,0.0
r2,26,0,5,0.0
r3,18,8,3,0.0
r1,31,0,5,0.0
r2,5,26,1,0.0
r3,14,17,2,0.0
r1,17,20,3,0.0
r2,33,4,5,0.0
r3,24,13,5,0.0
r1,25,17,4,0.0
r2,40,2,6,0.0
r3,23,19,3,0.0
r1,52,4,9,0.0
r2,20,36,4,0.0
r3,47,9,8,0.0
r1,17,39,2,0.0
r2,37,19,6,0.0
r3,46,10,7,0.0
r1,20,3,5,0.0
r2,4,19,3,0.0
r3,20,3,4,0.0
r1,24,14,6,0.0
r2,19,19,4,0.0
r3,28,10,5,0.0
r1,47,0,7,0.0
r2,40,7,6,0.0
r3,27,20,4,0.0
r1,12,16,3,0.0
r2,28,0,5,0.0
r3,22,6,3,0.0
r1,16,4,4,0.0
r2,16,4,4,0.0
r3,16,4,4,0.0
r1,40,6,6,0.0
r2,36,10,7,0.0
r3,21,25,4,0.0
r1,35,8,7,0.0
r2,36,7,7,0.0
r3,43,0,8,0.0
r1,17,13,3,0.0
r2,22,8,3,0.0
r3,21,9,4,0.0
r1,11,13,2,0.0
r2,12,12,4,0.0
r3,24,0,6,0.0
r1,9,31,2,0.0
r2,27,13,5,0.0
r3,27,13,4,0.0
r1,13,20,3,0.0
r2,29,4,5,0.0
r3,30,3,5,0.0
r1,39,0,7,0.0
r2,21,18,5,0.0
r3,31,8,4,0.0
r1,10,10,3,0.0
r2,8,12,3,0.0
r3,20,0,5,0.0
r1,42,0,8,0.0
r2,14,28,4,0.0
r3,20,22,4,0.0
r1,25,30,6,0.0
r2,45,10,8,0.0
r3,47,8,7,0.0
r1,35,10,5,0.0
r2,29,16,5,0.0
r3,32,13,5,0.0
r1,9,11,3,0.0
r2,20,0,5,0.0
r3,15,5,3,0.0
r1,31,11,6,0.0
r2,30,12,6,0.0
r3,22,20,5,0.0
r1,28,26,5,0.0
r2,42,12,6,0.0
r3,54,0,8,0.0
r1,37,13,6,0.0
r2,43,7,7,0.0
r3,41,9,7,0.0
r1,29,1,6,0.0
r2,7,23,1,0.0
r3,16,14,4,0.0
r1,28,9,5,0.0
r2,24,13,4,0.0
r3,18,19,3,0.0
r1,15,10,3,0.0
r2,21,4,3,0.0
r3,13,12,3,0.0
r1,33,0,5,0.0
r2,21,12,3,0.0
r3,33,0,5,0.0
r1,32,1,4,0.0
r2,24,9,3,0.0
r3,28,5,3,0.0
r1,24,16,7,0.0
r2,23,17,4,0.0
r3,40,0,9,0.0
r1,21,6,5,0.0
r2,18,9,4,0.0
r3,27,0,6,0.0
r1,14,16,4,0.0
r2,23,7,6,0.0
r3,25,5,7,0.0
r1,31,19,6,0.0
r2,50,0,9,0.0
r3,45,5,9,0.0
r1,5,23,1,0.0
r2,23,5,5,0.0
r3,25,3,5,0.0
r1,49,0,7,0.0
r2,27,22,4,0.0
r3,36,13,5,0.0
r1,28,0,5,0.0
r2,16,12,2,0.0
