ID,Task,Simulation,Priority,Created,Start,Delay,Duration,Cost,Aborted,Resources
99a35917-7a14-47c4-bb23-4b8ae28921c7,task7,sim7,0,11,11,0,6,0.0,false,r1
ec447b13-17b4-4ce6-956f-d648d3728bd0,task6,sim7,0,11,11,0,3,0.0,false,r2;r3
bb3dea3b-aa3f-4cb2-ac17-6757f1485988,task2,sim7,-1,0,14,14,7,0.0,false,r1;r3
f09140c3-a68d-4b9f-88ff-5f9a496f97a4,task10,sim7,0,17,17,0,5,0.0,false,r1;r3
ff5a59c4-90db-4e96-bd65-0e038ef78485,task4,sim7,1,21,21,0,1,0.0,false,r1;r3
0b206559-371d-42ba-b849-34c14040f03f,task3,sim7,0,21,22,1,3,0.0,false,r2;r3
75ec26cd-157c-4e53-b38e-b3938a2b7ff9,task9,sim7,-1,17,25,8,3,0.0,false,r1;r2;r3
f438d12a-91cb-4ec7-b813-fecd3e4d28b7,task8,sim7,-1,17,28,11,8,0.0,false,r1;r2
03d52191-fbfd-47b8-bf73-95eacd0afd9c,task6,sim8,-2,0,0,0,8,0.0,false,r2
c2b2357a-ce04-4e19-b204-0feca52e9095,task1,sim8,0,0,0,0,4,0.0,false,r2;r3
0d17e443-27cb-4db6-9b0b-d5e441cac598,task3,sim8,-1,0,4,4,5,0.0,false,r1;r3
f28490d5-7c92-40f0-a23d-fd630340670d,task2,sim8,-2,0,8,8,10,0.0,false,r1;r2
773078c3-c1a4-49b5-ba46-20adddd0ec5f,task7,sim8,-2,8,9,1,4,0.0,false,r1;r3
c8d8492b-ee9e-4ceb-9a34-97b9feb7c231,task4,sim8,-2,18,18,0,3,0.0,false,r2
afcb11a1-2895-4975-9da2-1654c317b1dd,task5,sim8,0,21,21,0,1,0.0,false,r1;r3
4be578e5-50d7-48c9-8df1-ad027156ea76,task2,sim9,1,0,0,0,4,0.0,false,r1;r2;r3
dabb86f5-ffb1-4458-8acc-c733705f5582,task6,sim9,1,0,0,0,5,0.0,false,r2;r3
5c2f9939-5ead-42f1-996d-98a8a1738fe7,task3,sim9,-2,4,4,0,9,0.0,false,r2
658cef7c-2202-4f02-ade7-c8754f4a24c3,task4,sim9,1,4,4,0,4,0.0,false,r3
f7371d81-d72c-4996-8441-fd6de1cf97d0,task1,sim9,0,0,4,4,8,0.0,false,r1;r3
ac31ae0d-e596-466c-a0f4-e24254b92bec,task8,sim9,-1,5,5,0,1,0.0,false,r2;r3
7b1753cd-8f50-4e43-9250-5163ca8cd488,task7,sim9,0,5,5,0,5,0.0,false,r1;r2;r3
fab4071f-adf0-4ec1-9ee9-2a060846fe3a,task5,sim9,-1,8,8,0,6,0.0,false,r3
fb3c73c9-18f5-45d9-ae0d-e3a7eaa09a22,task1,sim10,1,0,0,0,4,0.0,false,r1;r2;r3
9ea2ce60-d57a-4464-a291-3ffe5e269612,task2,sim10,0,0,4,4,10,0.0,false,r1;r2
c784fec0-19cb-4a96-a69f-dac8478552f3,task4,sim10,0,14,14,0,2,0.0,false,r1;r3
b4cbe4dd-69a7-40c1-8f16-6b5251f8f1c8,task6,sim10,0,14,14,0,3,0.0,false,r1;r2
0af4022b-23c8-4fd9-950d-bf9ee16f5408,task3,sim10,-2,14,14,0,9,0.0,false,r3
06abcb70-1a9e-4a56-9650-8f2ccfd7c87f,task5,sim10,-1,14,16,2,10,0.0,false,r1;r2
